Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Identifier,External Identifier
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,HOUSE,0',65.19',13.90',-9.9°,0°,0°,-180°,9°,BFDC9C5B-66B9-4F1A-969A-03FCC4858B7B,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,-10',65.19',13.90',168.4°,-12.3°,177.5°,-192°,11°,B529FA10-2787-46AC-9C93-2213D4C298AF,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,-20',65.19',13.90',165.8°,49.0°,-169.2°,-130°,9°,FF0DD20E-06E5-4D47-A35F-87A096C987B1,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,10',65.19',13.90',165.8°,-41.3°,170.5°,-222°,10°,66627F25-D9AF-496E-AB35-FCAC5C5485A4,
ETC Source Four Fresnel,HPL 750/230,750W,HOUSE,,901,,A.29,"Control, 1 ch",1,LX - FIXTURES,,,,,HOUSE LIGHTS,,13.4lbs,,20',65.19',13.90',165.8°,-51.1°,168.9°,-231°,8°,D00B2406-4B99-4169-A7B2-8F5D01148819,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,-58.64',45.38',-7.44',87.2°,-46.1°,86.1°,87°,43°,570F18C0-727D-47E4-8366-DE1BD6BBAE1C,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,-58.64',45.38',-19.19',87.2°,-46.1°,86.1°,87°,43°,8BA02B84-2F6B-4AB2-A940-1819E648B141,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,-58.64',45.38',-31.25',87.2°,-46.1°,86.1°,87°,43°,22207D42-E10E-4E7B-BAC1-ED96822106F6,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,58.97',45.38',-31.25',92.8°,46.1°,-93.9°,-92°,43°,57B9E57F-B411-4320-B370-FEB40108F5C3,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,58.97',45.38',-19.50',92.8°,46.1°,-93.9°,-92°,43°,2810AC5C-34BE-494E-BA56-6221911CE759,
"De Sisti Lighting Rembrandt 1,2-2,5kW",MSR 2500 HR,2500W,STAGE WORKS,,911,,A.30,"Control, 1 ch",1,LX - WORKLIGHT,,,,,STAGE WORKS,,31.5lbs,,58.97',45.38',-7.44',92.8°,46.1°,-93.9°,-92°,43°,582AD4AE-CE5F-4654-A5A7-D001D0EAB522,
ETC Source Four 19°,HPL 750/230,750W,,,103,,A.21,"Control, 1 ch",1,LX - FIXTURES,,"L201, R119",,,FNT DS COOL,,14.1lbs,FOH TRUSS,-1.31',48.00',26.84',42.5°,-1.3°,1.2°,1°,42°,9166F00F-71BD-4906-9AD7-9BCB92887827,
ETC Source Four 19°,HPL 750/230,750W,,,113,,A.26,"Control, 1 ch",1,LX - FIXTURES,,"R02, R119",,,FNT DS WRM,,14.1lbs,FOH TRUSS,-0.38',48.00',26.84',42.4°,-0.4°,0.3°,0°,42°,498DD38D-B682-40CF-92B2-5420378B46CE,
ETC Source Four 19°,HPL 750/230,750W,,,102,,A.20,"Control, 1 ch",1,LX - FIXTURES,,"L201, R119",,,FNT DS COOL,,14.1lbs,FOH TRUSS,-10.46',48.00',26.84',42.5°,-1.3°,1.2°,1°,42°,1FCB3B74-8DCA-4AB4-9A1F-4004C921C4E4,
ETC Source Four 19°,HPL 750/230,750W,,,112,,A.25,"Control, 1 ch",1,LX - FIXTURES,,"R02, R119",,,FNT DS WRM,,14.1lbs,FOH TRUSS,-9.54',48.00',26.84',42.4°,-0.4°,0.3°,0°,42°,587F2992-2101-45EA-A0A5-A8A141C5E597,
ETC Source Four 19°,HPL 750/230,750W,,,101,,A.19,"Control, 1 ch",1,LX - FIXTURES,,"L201, R119",,,FNT DS COOL,,14.1lbs,FOH TRUSS,-19.80',48.00',26.84',42.5°,-1.3°,1.2°,1°,42°,A616247D-C384-4CEF-9A1F-3D01E7DC8D86,
ETC Source Four 19°,HPL 750/230,750W,,,111,,A.24,"Control, 1 ch",1,LX - FIXTURES,,"R02, R119",,,FNT DS WRM,,14.1lbs,FOH TRUSS,-18.88',48.00',26.84',42.4°,-0.4°,0.3°,0°,42°,5E6E5E76-E60D-4751-A4E1-376394394C72,
ETC Source Four 19°,HPL 750/230,750W,,,104,,A.22,"Control, 1 ch",1,LX - FIXTURES,,"L201, R119",,,FNT DS COOL,,14.1lbs,FOH TRUSS,9.56',48.00',26.84',42.5°,-1.3°,1.2°,1°,42°,574B6040-6BEC-4920-ADC2-5A1386D26DF2,
ETC Source Four 19°,HPL 750/230,750W,,,114,,A.27,"Control, 1 ch",1,LX - FIXTURES,,"R02, R119",,,FNT DS WRM,,14.1lbs,FOH TRUSS,10.48',48.00',26.84',42.4°,-0.4°,0.3°,0°,42°,83F8A088-B6EF-42CC-82ED-AB572BE22774,
ETC Source Four 19°,HPL 750/230,750W,,,105,,A.23,"Control, 1 ch",1,LX - FIXTURES,,"L201, R119",,,FNT DS COOL,,14.1lbs,FOH TRUSS,17.83',48.00',26.84',42.5°,-1.3°,1.2°,1°,42°,D4209CAB-F5FC-40A9-A9B6-5ACFDDF3C9B9,
ETC Source Four 19°,HPL 750/230,750W,,,115,,A.28,"Control, 1 ch",1,LX - FIXTURES,,"R02, R119",,,FNT DS WRM,,14.1lbs,FOH TRUSS,18.75',48.00',26.84',42.4°,-0.4°,0.3°,0°,42°,807AF697-8727-4A40-B3A3-1A2726E457F5,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,94,,C.469,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,FOH MOV,,83.9lbs,FOH TRUSS,14.14',47.99',28.54',-0°,0°,0°,0°,0°,BFF1C9D9-7B0A-49C4-AD96-EB3F0E347A31,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,93,,C.433,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,FOH MOV,,83.9lbs,FOH TRUSS,4.14',47.99',28.54',-0°,0°,0°,0°,0°,721334C3-4D78-4B31-AA3D-489EB05442D6,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,92,,C.397,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,FOH MOV,,83.9lbs,FOH TRUSS,-5.86',47.99',28.54',-0°,0°,0°,0°,0°,31BA2B76-9B8D-4BF4-85F0-D9970D380E2D,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,91,,C.361,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,FOH MOV,,83.9lbs,FOH TRUSS,-15.86',47.99',28.54',-0°,0°,0°,0°,0°,7B695C87-7A8B-4C03-BCF1-C464CFD6591A,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,122,,D.37,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,BALC RAIL ML,,83.9lbs,BALC RAIL,0',26.82',46.73',-0°,0°,0°,0°,0°,C0BC47F3-E550-4940-9413-962507F018D0,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,121,,D.1,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,BALC RAIL ML,,83.9lbs,BALC RAIL,-17',26.87',41.41',-0°,0°,0°,0°,0°,07D69AFD-E937-4725-9B1A-9469BD7E2D10,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,123,,D.73,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,BALC RAIL ML,,83.9lbs,BALC RAIL,17',26.87',41.28',-0°,0°,0°,0°,0°,535645C8-B687-4940-8B83-4ADBB1BB9D64,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,305,,E.238,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,-0.04',3.60',-35.04',172.5°,0°,0°,0°,172°,6F167729-F0B1-4535-A53F-E1203B0B4521,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,304,,E.235,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,-5.76',3.60',-35.04',172.5°,0°,0°,0°,172°,2060883E-E473-4F3D-90E2-6DEFF79A705F,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,303,,E.232,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,-11.47',3.60',-35.04',172.5°,0°,0°,0°,172°,BADCE817-9CE1-4A81-A942-40CC3542E972,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,302,,E.229,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,-17.19',3.60',-35.04',172.5°,0°,0°,0°,172°,2E2D7F7E-65F5-492A-BE85-9FA29E9A22C7,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,301,,E.226,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,-22.92',3.60',-35.04',172.5°,0°,0°,0°,172°,BEB62260-F3FD-435B-B961-96F9FB1576B6,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,309,,E.250,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,22.84',3.60',-35.04',172.5°,0°,0°,0°,172°,B2874814-E680-4C35-A253-C3B356701666,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,308,,E.247,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,17.12',3.60',-35.04',172.5°,0°,0°,0°,172°,916989B2-7601-4DF9-A032-51189FDBB978,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,307,,E.244,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,11.41',3.60',-35.04',172.5°,0°,0°,0°,172°,93B08707-CD70-473C-940E-F9AF40BC118A,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,306,,E.241,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC BOTTOM,,52.9lbs,,5.68',3.60',-35.04',172.5°,0°,0°,0°,172°,7E07F844-757C-42BB-855E-6EA13D610B5A,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,315,,E.265,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,0.01',47.71',-34.99',12.0°,0°,0°,0°,12°,937FD219-978B-40C2-9C32-BDC53F0E9D8F,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,314,,E.262,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,-5.71',47.71',-34.99',12.0°,0°,0°,0°,12°,369E726C-5259-4FC8-90CA-1E4A3303A001,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,313,,E.259,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,-11.43',47.71',-34.99',12.0°,0°,0°,0°,12°,B5BA4109-DA58-4798-BFF5-EC029ED79381,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,312,,E.256,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,-17.15',47.71',-34.99',12.0°,0°,0°,0°,12°,822BA425-8D13-42D7-8D8A-C5230FE43ED5,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,311,,E.253,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,-22.87',47.71',-34.99',12.0°,0°,0°,0°,12°,3031BF1B-833F-4206-BA0B-24C2281E6C2F,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,319,,E.277,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,22.89',47.71',-34.99',12.0°,0°,0°,0°,12°,0906F1E7-B66A-4E01-BEDE-AA6971589986,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,318,,E.274,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,17.17',47.71',-34.99',12.0°,0°,0°,0°,12°,213B5C85-B3F7-4D67-B463-75AB53250BD4,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,317,,E.271,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,11.45',47.71',-34.99',12.0°,0°,0°,0°,12°,7C72ED36-8262-44B6-B130-01EBFA72C7BB,
Chroma-Q Studio Force II V72,CYC Optics Lens,800W,,,316,,E.268,"RGB All Mode, 3 chs",3,LX - FIXTURES,,,,,CYC TOP,,52.9lbs,,5.73',47.71',-34.99',12.0°,0°,0°,0°,12°,08D838C1-DBCF-4E79-B514-BB446EC194DB,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,231,,D.325,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV TOP,,83.9lbs,#1 BOOM SR,-33.93',25',-7.57',0°,-90.0°,0°,0°,0°,FE626B7C-1665-4A7A-B875-1AF22FDD5751,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,232,,D.361,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV TOP,,83.9lbs,#2 BOOM SR,-33.93',25',-18.68',0°,-90.0°,0°,0°,0°,E5DB8B74-F1B6-471A-ABA0-52E6DB89F48A,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,233,,D.397,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV TOP,,83.9lbs,#3 BOOM SR,-33.35',25',-29.47',0°,-90.0°,0°,0°,0°,63919CDC-CE89-4BBF-B941-295BBE654ABA,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,221,,D.109,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV BOT,,83.9lbs,#1 BOOM SR,-33.93',16.60',-7.57',0°,-90.0°,0°,0°,0°,15EE9C34-4423-4C7A-8B01-D31DB46BB956,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,222,,D.145,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV BOT,,83.9lbs,#2 BOOM SR,-33.93',16.60',-18.68',0°,-90.0°,0°,0°,0°,B2BD498A-40AE-4186-9267-AC33D0869FAE,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,223,,D.181,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV BOT,,83.9lbs,#3 BOOM SR,-33.35',16.60',-29.47',0°,-90.0°,0°,0°,0°,4569D0C2-4B6C-4226-BE79-DC3BC0020C98,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,201,,E.166,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,SHIN >>,,17.0lbs,#1 BOOM SR,-33.92',4.50',-7.55',90.0°,10.2°,90.0°,-269°,100°,2FB01D6D-A544-4752-ACA5-F30133BB9C28,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,202,,E.171,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,SHIN >>,,17.0lbs,#2 BOOM SR,-33.92',4.50',-18.64',90.0°,10.2°,90.0°,-269°,100°,F060FBB7-8ABE-433C-B6B8-AB60517A0996,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,203,,E.176,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,SHIN >>,,17.0lbs,#3 BOOM SR,-33.92',4.50',-29.45',90.0°,10.2°,90.0°,-269°,100°,AD5ED5F8-4240-4E69-8940-762082DCB232,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,211,,E.196,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,HEAD >>,,17.0lbs,#1 BOOM SR,-33.92',10.30',-7.69',90.0°,0°,90.0°,89°,90°,6A609CA8-46EB-45EA-84B0-0CF11A6671E2,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,212,,E.201,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,HEAD >>,,17.0lbs,#2 BOOM SR,-33.92',10.30',-18.78',90.0°,0°,90.0°,89°,90°,CC9B4F43-86CD-44D8-BF49-6A6103B8D4B6,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,213,,E.206,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,HEAD >>,,17.0lbs,#3 BOOM SR,-33.92',10.30',-29.59',90.0°,0°,90.0°,89°,90°,6CEDE97A-92C9-43FD-972E-AEF46CAF6553,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,236,,B.1,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV TOP,,83.9lbs,#3 BOOM SL,33.64',25',-29.43',0°,90.0°,0°,0°,0°,7AADF4E8-59B9-46CC-BF74-D301C8ED5FF9,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,235,,D.469,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV TOP,,83.9lbs,#2 BOOM SL,33.64',25',-18.60',0°,90.0°,0°,0°,0°,83C9396C-D261-496A-ACF5-9F7B4914E0B7,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,234,,D.433,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV TOP,,83.9lbs,#1 BOOM SL,33.06',25',-7.52',0°,90.0°,0°,0°,0°,05BA50C5-F8D0-468F-87BD-70B961CFF47A,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,226,,D.289,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV BOT,,83.9lbs,#3 BOOM SL,33.64',16.60',-29.43',0°,90.0°,0°,0°,0°,0D1A8DA8-F85E-4725-A84B-FCDD15AD2305,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,225,,D.253,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV BOT,,83.9lbs,#2 BOOM SL,33.64',16.60',-18.60',0°,90.0°,0°,0°,0°,71275FD2-943C-4771-9686-E44F2AE43B28,
Elation Artiste Picasso,9.1° - 49.4°,1000W,,,224,,D.217,"Standard Mode, 36 chs",36,LX - FIXTURES,,,,,SIDE MOV BOT,,83.9lbs,#1 BOOM SL,33.06',16.60',-7.52',0°,90.0°,0°,0°,0°,AD6D21E5-856D-4422-83EE-7D6DBFA708D5,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,206,,E.191,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,SHIN <<,,17.0lbs,#3 BOOM SL,33.63',4.50',-29.44',90.0°,-10.2°,-90.0°,-89°,100°,6145DB5C-35B7-4AE4-98CE-10A402DE1E10,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,205,,E.186,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,SHIN <<,,17.0lbs,#2 BOOM SL,33.63',4.50',-18.64',90.0°,-10.2°,-90.0°,-89°,100°,DAED4C4B-D568-43FF-ABE2-1A1F04A074C5,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,204,,E.181,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,SHIN <<,,17.0lbs,#1 BOOM SL,33.63',4.50',-7.54',90.0°,-10.2°,-90.0°,-89°,100°,1BEF5F51-F939-496E-8238-F556DD7ECCBA,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,216,,E.221,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,HEAD <<,,17.0lbs,#3 BOOM SL,33.63',10.30',-29.30',90.0°,-0.0°,-90.0°,-90°,90°,1E5DB507-40F0-4021-B087-B4868A469ADD,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,215,,E.216,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,HEAD <<,,17.0lbs,#2 BOOM SL,33.63',10.30',-18.50',90.0°,-0.0°,-90.0°,-90°,90°,03FE6335-BEC6-45F1-97C9-0F57BA2A185A,
ETC ColorSource Spot 36° EDLT (Deep Blue),34°,160W,,,214,,E.211,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,R119,,,HEAD <<,,17.0lbs,#1 BOOM SL,33.63',10.30',-7.40',90.0°,-0.0°,-90.0°,-90°,90°,8DA2AFAC-D6CB-47EC-AE3D-CC1DDDFCDD13,
Robe Robin BMFL FollowSpot,"1,7kW",1700W,,,702,,H.34,"Mode 1, 33 chs",33,LX - FIXTURES,,,,,,,77.1lbs,FOH,2.14',47.99',28.54',-0°,0°,0°,0°,0°,89A2AD13-005B-4119-906E-DC54A571F171,
Robe Robin BMFL FollowSpot,"1,7kW",1700W,,,701,,H.1,"Mode 1, 33 chs",33,LX - FIXTURES,,,,,,,77.1lbs,FOH,-3.69',47.99',28.54',-0°,0°,0°,0°,0°,9DA07333-E7C1-470B-8F35-DCB0E2D97FC8,
ETC ColorSource PAR (Deep Blue),Wide Oval Lens,103W,,,33,,E.61,"5 Channel Mode, 5 chs",5,LX - FIXTURES,,,,,TOP WASH,,8.3lbs,#3 ELECTRIC,-0.02',34.94',-27.13',0°,90.0°,-6.8°,-180°,6°,24F4255F-5367-470B-84AC-F33EE1A335AA,
